CHROM	START	END	gc	map
chr1	1000001	1500000	0.598331	0.943187
chr1	1500001	2000000	0.539497	0.917985
chr1	2000001	2500000	0.594509	0.980687
chr1	2500001	3000000	0.511757	0.916572
chr1	3000001	3500000	0.584571	0.988437
chr1	3500001	4000000	0.383695	0.983163
chr1	4000001	4500000	0.482573	0.976161
chr1	4500001	5000000	0.481829	0.98618
chr1	5000001	5500000	0.447445	0.980076
chr1	5500001	6000000	0.491129	0.984707
chr1	6000001	6500000	0.545071	0.982958
chr1	6500001	7000000	0.489969	0.983366
chr1	7000001	7500000	0.470671	0.979429
chr1	7500001	8000000	0.488251	0.983199
chr1	8000001	8500000	0.462703	0.984964
chr1	8500001	9000000	0.426009	0.976037
chr1	9000001	9500000	0.506691	0.988498
chr1	9500001	10000000	0.497249	0.980507
chr1	10000001	10500000	0.445163	0.977112
chr1	10500001	11000000	0.511387	0.992335
chr1	11000001	11500000	0.480211	0.970936
chr1	11500001	12000000	0.519873	0.988112
chr1	12000001	12500000	0.476295	0.986083
chr1	14000001	14500000	0.431399	0.985233
chr1	14500001	15000000	0.431123	0.977468
chr1	15000001	15500000	0.494933	0.99175
chr1	15500001	16000000	0.472725	0.982501
chr1	16000001	16500000	0.513081	0.976363
chr1	17500001	18000000	0.513391	0.988498
chr1	18000001	18500000	0.494527	0.992788
chr1	18500001	19000000	0.488697	0.99403
chr1	19000001	19500000	0.496861	0.995941
chr1	19500001	20000000	0.477783	0.985438
chr1	20000001	20500000	0.462495	0.985539
chr1	20500001	21000000	0.485119	0.992482
chr1	21000001	21500000	0.415469	0.972417
chr1	21500001	22000000	0.505597	0.952914
chr1	22000001	22500000	0.489919	0.966106
chr1	22500001	23000000	0.493015	0.996
chr1	23000001	23500000	0.473729	0.98933
chr1	23500001	24000000	0.472091	0.981495
chr1	24000001	24500000	0.473277	0.96632
chr1	24500001	25000000	0.456137	0.987213
chr1	25000001	25500000	0.482683	0.978731
chr1	26000001	26500000	0.487939	0.991388
chr1	26500001	27000000	0.486151	0.974838
chr1	27000001	27500000	0.492839	0.974379
chr1	27500001	28000000	0.498337	0.98007
chr1	28000001	28500000	0.444135	0.975657
chr1	28500001	29000000	0.460589	0.974496
chr1	29000001	29500000	0.449013	0.980872
chr1	29500001	30000000	0.371105	0.981213
chr1	30000001	30500000	0.447103	0.988034
chr1	30500001	31000000	0.481587	0.965467
chr1	31000001	31500000	0.479273	0.985928
chr1	31500001	32000000	0.460071	0.98204
chr1	32000001	32500000	0.488655	0.988579
chr1	32500001	33000000	0.475457	0.977157
chr1	33000001	33500000	0.469765	0.977905
chr1	33500001	34000000	0.465569	0.976268
chr1	34000001	34500000	0.452505	0.974341
chr1	34500001	35000000	0.439525	0.969691
chr1	35000001	35500000	0.452929	0.967982
chr1	35500001	36000000	0.413267	0.973272
chr1	36000001	36500000	0.434635	0.988156
chr1	36500001	37000000	0.486275	0.983535
chr1	37000001	37500000	0.489451	0.992924
chr1	37500001	38000000	0.470981	0.973757
chr1	38000001	38500000	0.475415	0.97877
chr1	38500001	39000000	0.457529	0.988399
chr1	39000001	39500000	0.448629	0.975342
chr1	39500001	40000000	0.439457	0.966935
chr1	40000001	40500000	0.474775	0.961466
chr1	40500001	41000000	0.424227	0.973216
chr1	41000001	41500000	0.469253	0.984588
chr1	41500001	42000000	0.459647	0.971853
chr1	42000001	42500000	0.458745	0.979906
chr1	42500001	43000000	0.410183	0.971093
