CHROM	START	END	gc	map
chr1	1000001	1500000	0.605013	0.952984
chr1	1500001	2000000	0.540691	0.907472
chr1	2000001	2500000	0.585455	0.982657
chr1	2500001	3000000	0.531175	0.910012
chr1	3000001	3500000	0.573833	0.988189
chr1	3500001	4000000	0.555585	0.986833
chr1	4000001	4500000	0.479275	0.976477
chr1	4500001	5000000	0.478709	0.986258
chr1	5000001	5500000	0.451799	0.979375
chr1	5500001	6000000	0.492899	0.98509
chr1	6000001	6500000	0.556603	0.98003
chr1	6500001	7000000	0.475987	0.986377
chr1	7000001	7500000	0.477331	0.979628
chr1	7500001	8000000	0.478277	0.979849
chr1	8000001	8500000	0.458033	0.987761
chr1	8500001	9000000	0.432989	0.974982
chr1	9000001	9500000	0.508753	0.988837
chr1	9500001	10000000	0.494205	0.978158
chr1	10000001	10500000	0.445445	0.97868
chr1	10500001	11000000	0.516239	0.993537
chr1	11000001	11500000	0.481983	0.971278
chr1	11500001	12000000	0.518793	0.986494
chr1	12000001	12500000	0.466071	0.988044
chr1	13500001	14000000	0.442009	0.981255
chr1	14000001	14500000	0.424129	0.973854
chr1	14500001	15000000	0.475703	0.992565
chr1	15000001	15500000	0.491345	0.984086
chr1	15500001	16000000	0.476183	0.985105
chr1	16000001	16500000	0.511277	0.971858
chr1	17000001	17500000	0.497313	0.987753
chr1	17500001	18000000	0.507949	0.99468
chr1	18000001	18500000	0.491659	0.992705
chr1	18500001	19000000	0.503341	0.994052
chr1	19000001	19500000	0.478725	0.989989
chr1	19500001	20000000	0.464765	0.985762
chr1	20000001	20500000	0.477137	0.992066
chr1	20500001	21000000	0.444765	0.978898
chr1	21000001	21500000	0.456143	0.94669
chr1	21500001	22000000	0.510253	0.972741
chr1	22000001	22500000	0.480037	0.984288
chr1	22500001	23000000	0.508703	0.992109
chr1	23000001	23500000	0.447059	0.985279
chr1	23500001	24000000	0.474347	0.964974
chr1	24000001	24500000	0.471795	0.986898
chr1	24500001	25000000	0.466543	0.980265
chr1	25500001	26000000	0.489171	0.977199
chr1	26000001	26500000	0.489343	0.98643
chr1	26500001	27000000	0.483263	0.967674
chr1	27000001	27500000	0.488491	0.97484
chr1	27500001	28000000	0.483497	0.979037
chr1	28000001	28500000	0.439903	0.979596
chr1	28500001	29000000	0.466233	0.976241
chr1	29000001	29500000	0.471055	0.979854
chr1	29500001	30000000	0.474311	0.98826
chr1	30000001	30500000	0.479429	0.965638
chr1	30500001	31000000	0.485371	0.985756
chr1	31000001	31500000	0.456573	0.981911
chr1	31500001	32000000	0.489751	0.989655
chr1	32000001	32500000	0.475299	0.977857
chr1	32500001	33000000	0.470529	0.976875
chr1	33000001	33500000	0.465575	0.977583
chr1	33500001	34000000	0.452375	0.972319
chr1	34000001	34500000	0.441393	0.970152
chr1	34500001	35000000	0.454623	0.968287
chr1	35000001	35500000	0.412675	0.97286
chr1	35500001	36000000	0.435127	0.989186
chr1	36000001	36500000	0.479515	0.982753
chr1	36500001	37000000	0.489483	0.992524
chr1	37000001	37500000	0.473741	0.975659
chr1	37500001	38000000	0.472069	0.977065
chr1	38000001	38500000	0.461837	0.988459
chr1	38500001	39000000	0.447639	0.975919
chr1	39000001	39500000	0.434233	0.978719
chr1	39500001	40000000	0.482325	0.951982
chr1	40000001	40500000	0.423863	0.971863
chr1	40500001	41000000	0.464241	0.982603
chr1	41000001	41500000	0.455633	0.972146
chr1	41500001	42000000	0.469393	0.979544
chr1	42000001	42500000	0.410581	0.972953
chr1	42500001	43000000	0.438311	0.983657
chr1	43000001	43500000	0.464331	0.969926
chr1	43500001	44000000	0.485577	0.990139
chr1	44000001	44500000	0.454973	0.990797
chr1	44500001	45000000	0.475783	0.980483
chr1	45000001	45500000	0.427293	0.947059
chr1	45500001	46000000	0.425357	0.968157
chr1	46000001	46500000	0.473535	0.971545
chr1	46500001	47000000	0.440055	0.910405
chr1	47000001	47500000	0.441055	0.920289
chr1	47500001	48000000	0.480221	0.987791
chr1	48000001	48500000	0.407743	0.93109
chr1	48500001	49000000	0.422623	0.992596
chr1	49000001	49500000	0.380721	0.946349
chr1	49500001	50000000	0.370677	0.924781
chr1	50000001	50500000	0.418985	0.98815
chr1	50500001	51000000	0.382269	0.969151
chr1	51000001	51500000	0.410777	0.97378
chr1	51500001	52000000	0.411381	0.986096
chr1	52000001	52500000	0.416769	0.97057
chr1	52500001	53000000	0.430285	0.981835
chr1	53000001	53500000	0.479791	0.979657
chr1	53500001	54000000	0.466135	0.991421
chr1	54000001	54500000	0.488317	0.980821
chr1	54500001	55000000	0.481557	0.97732
chr1	55000001	55500000	0.423623	0.971404
chr1	55500001	56000000	0.401345	0.982163
chr1	56000001	56500000	0.405353	0.973091
chr1	56500001	57000000	0.403523	0.987841
chr1	57000001	57500000	0.408681	0.991084
chr1	57500001	58000000	0.403533	0.982592
chr1	58000001	58500000	0.417611	0.942286
chr1	58500001	59000000	0.416429	0.978139
chr1	59000001	59500000	0.409013	0.967206
chr1	59500001	60000000	0.396805	0.952414
chr1	60000001	60500000	0.376803	0.951967
chr1	60500001	61000000	0.394961	0.964277
chr1	61000001	61500000	0.397339	0.995635
chr1	61500001	62000000	0.402389	0.977126
chr1	62000001	62500000	0.433213	0.983127
chr1	62500001	63000000	0.380851	0.969396
chr1	63000001	63500000	0.397355	0.98016
chr1	63500001	64000000	0.409737	0.985243
chr1	64000001	64500000	0.408439	0.962717
chr1	64500001	65000000	0.404095	0.988571
chr1	65000001	65500000	0.411905	0.971484
chr1	65500001	66000000	0.373131	0.945074
chr1	66000001	66500000	0.382295	0.953407
chr1	66500001	67000000	0.372963	0.97558
chr1	67000001	67500000	0.403149	0.968677
chr1	67500001	68000000	0.414853	0.986392
chr1	68000001	68500000	0.399285	0.97835
chr1	68500001	69000000	0.374313	0.943762
chr1	69000001	69500000	0.368027	0.962723
chr1	69500001	70000000	0.355487	0.953939
chr1	70000001	70500000	0.373529	0.986792
chr1	70500001	71000000	0.378681	0.965726
chr1	71000001	71500000	0.367349	0.96929
chr1	71500001	72000000	0.355867	0.96888
chr1	72000001	72500000	0.344031	0.987338
chr1	72500001	73000000	0.351277	0.966695
chr1	73000001	73500000	0.349229	0.973702
chr1	73500001	74000000	0.354619	0.99555
chr1	74000001	74500000	0.354855	0.958166
chr1	74500001	75000000	0.374095	0.958878
chr1	75000001	75500000	0.373697	0.94648
chr1	75500001	76000000	0.378785	0.948363
chr1	76000001	76500000	0.391077	0.98052
chr1	76500001	77000000	0.382477	0.969875
chr1	77000001	77500000	0.383035	0.97141
chr1	77500001	78000000	0.393337	0.976893
chr1	78000001	78500000	0.384071	0.960016
chr1	78500001	79000000	0.360509	0.974052
chr1	79000001	79500000	0.357145	0.976002
chr1	79500001	80000000	0.356739	0.955493
chr1	80000001	80500000	0.350843	0.961321
chr1	80500001	81000000	0.350027	0.959847
chr1	81000001	81500000	0.366043	0.987265
chr1	81500001	82000000	0.366809	0.990536
chr1	82000001	82500000	0.372647	0.964834
chr1	82500001	83000000	0.359699	0.98613
chr1	83500001	84000000	0.380161	0.982311
chr1	84000001	84500000	0.375483	0.970233
chr1	84500001	85000000	0.402723	0.995316
chr1	85000001	85500000	0.394923	0.981908
chr1	85500001	86000000	0.379361	0.930216
chr1	86000001	86500000	0.375561	0.95873
chr1	86500001	87000000	0.387635	0.945501
chr1	87000001	87500000	0.401641	0.985324
chr1	87500001	88000000	0.382977	0.990402
chr1	88000001	88500000	0.373489	0.981631
chr1	88500001	89000000	0.381499	0.985452
chr1	89000001	89500000	0.390067	0.935229
chr1	89500001	90000000	0.404167	0.967911
chr1	90000001	90500000	0.382451	0.95975
chr1	90500001	91000000	0.389143	0.984267
chr1	91000001	91500000	0.395541	0.925125
chr1	91500001	92000000	0.420307	0.985519
chr1	92000001	92500000	0.394781	0.963776
chr1	92500001	93000000	0.391921	0.956178
chr1	93000001	93500000	0.387045	0.971145
chr1	93500001	94000000	0.425657	0.953422
chr1	94000001	94500000	0.409831	0.97533
chr1	94500001	95000000	0.423855	0.976514
chr1	95000001	95500000	0.393641	0.97145
chr1	95500001	96000000	0.371677	0.993268
chr1	96000001	96500000	0.371819	0.948783
chr1	96500001	97000000	0.374745	0.960037
chr1	97000001	97500000	0.360963	0.966801
chr1	97500001	98000000	0.344567	0.987987
chr1	98000001	98500000	0.359149	0.981388
chr1	98500001	99000000	0.367017	0.970434
chr1	99000001	99500000	0.369995	0.962848
chr1	99500001	100000000	0.384647	0.971552
chr1	100000001	100500000	0.384661	0.984451
chr1	100500001	101000000	0.378317	0.956897
chr1	101000001	101500000	0.388267	0.989034
chr1	101500001	102000000	0.356503	0.980851
chr1	102000001	102500000	0.347023	0.961331
chr1	102500001	103000000	0.349097	0.953108
chr1	104000001	104500000	0.355531	0.970008
chr1	104500001	105000000	0.347371	0.939955
chr1	105000001	105500000	0.341545	0.978075
chr1	105500001	106000000	0.345831	0.96107
chr1	106000001	106500000	0.350185	0.972223
chr1	106500001	107000000	0.359149	0.984335
chr1	107000001	107500000	0.375017	0.992438
chr1	107500001	108000000	0.383357	0.976231
chr1	108500001	109000000	0.401405	0.972923
chr1	109000001	109500000	0.457615	0.983599
chr1	109500001	110000000	0.465731	0.955622
chr1	110000001	110500000	0.475147	0.992796
chr1	110500001	111000000	0.413833	0.982984
chr1	111000001	111500000	0.403235	0.96143
chr1	111500001	112000000	0.441517	0.987252
chr1	112000001	112500000	0.425741	0.946637
chr1	112500001	113000000	0.442051	0.971363
chr1	113000001	113500000	0.409127	0.953971
chr1	113500001	114000000	0.389653	0.964093
chr1	114000001	114500000	0.427675	0.972639
chr1	114500001	115000000	0.384945	0.974583
chr1	115000001	115500000	0.421699	0.972512
chr1	115500001	116000000	0.413067	0.979578
chr1	116000001	116500000	0.421173	0.97578
chr1	116500001	117000000	0.440223	0.937484
chr1	117000001	117500000	0.402335	0.961218
chr1	117500001	118000000	0.408977	0.97869
chr1	118000001	118500000	0.376295	0.969355
chr1	118500001	119000000	0.384175	0.926207
chr1	119000001	119500000	0.409335	0.959154
chr1	119500001	120000000	0.423403	0.947877
chr1	150000001	150500000	0.430973	0.98283
chr1	150500001	151000000	0.442813	0.967494
chr1	151000001	151500000	0.464451	0.982757
chr1	151500001	152000000	0.450387	0.980427
chr1	152000001	152500000	0.414745	0.926455
chr1	152500001	153000000	0.415563	0.953689
chr1	153000001	153500000	0.424881	0.948774
chr1	153500001	154000000	0.483141	0.982648
chr1	154000001	154500000	0.454515	0.972165
chr1	154500001	155000000	0.478311	0.981629
chr1	155000001	155500000	0.493963	0.973491
chr1	155500001	156000000	0.452717	0.935583
chr1	156000001	156500000	0.503553	0.978268
chr1	156500001	157000000	0.508949	0.988044
chr1	157000001	157500000	0.436681	0.9622
chr1	157500001	158000000	0.405589	0.975762
chr1	158000001	158500000	0.411697	0.935122
chr1	158500001	159000000	0.371981	0.95685
chr1	159000001	159500000	0.391525	0.950356
chr1	159500001	160000000	0.428267	0.946063
chr1	160000001	160500000	0.452841	0.982881
chr1	160500001	161000000	0.425697	0.955989
chr1	161000001	161500000	0.478155	0.927454
